ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),CO2 Emissions(g/km)
1060,VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3,6,AS8,D,11.8,8.1,277
1061,VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,223
1062,VOLVO,S60 AWD,COMPACT,2.5,5,AS6,X,11.6,8.3,232
1063,VOLVO,S60 AWD,COMPACT,3,6,AS6,X,13.2,9.5,264
1064,VOLVO,S80,MID-SIZE,3.2,6,AS6,X,11.9,8.1,235
1065,VOLVO,S80 AWD,MID-SIZE,3,6,AS6,X,13.2,9.5,264
1066,VOLVO,XC60,SUV - SMALL,3.2,6,AS6,X,13,8.9,258
1067,VOLVO,XC60 AWD,SUV - SMALL,3,6,AS6,X,13.4,9.8,271
1068,VOLVO,XC60 AWD,SUV - SMALL,3.2,6,AS6,X,13.2,9.5,264
1069,VOLVO,XC70 AWD,SUV - SMALL,3,6,AS6,X,13.4,9.8,271
1070,VOLVO,XC70 AWD,SUV - SMALL,3.2,6,AS6,X,12.9,9.3,260
1071,VOLVO,XC90 AWD,SUV - STANDARD,3.2,6,AS6,X,14.9,10.2,294
1072,ACURA,ILX,COMPACT,2,4,AS5,Z,9.7,6.7,191
1073,ACURA,ILX,COMPACT,2.4,4,M6,Z,10.8,7.4,214
1074,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,6.1,140
1075,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,255
1076,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,244
1077,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,230
1078,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8,7.5,177
1079,ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,191
1080,ACURA,TLX,COMPACT,3.5,6,AS9,Z,11.2,6.9,212
1081,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,221
1082,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,193
1083,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,359
1084,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.8,10.9,327
1085,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,338
1086,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,356
1087,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,338
1088,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,356
1089,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6,12,AM7,Z,19.5,12.8,379
1090,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,338
1091,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,356
1092,ASTON MARTIN,VANQUISH,MINICOMPACT,6,12,A8,Z,17.6,11.4,340
1093,AUDI,A3,SUBCOMPACT,1.8,4,AM6,Z,10,7.1,200
1094,AUDI,A3 TDI (modified),SUBCOMPACT,2,4,AM6,D,7.6,5.5,177
1095,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM6,Z,9.8,7.2,198
1096,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM6,Z,10.1,7.5,205
1097,AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.6,205
1098,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11,7.8,221
1099,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.6,7.3,209
1100,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.2,8.4,228
1101,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11,7.8,221
1102,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.6,7.3,209
1103,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.3,8,225
1104,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,8.1,237
1105,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,8.6,251
1106,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,217
1107,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.1,8.5,253
1108,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,217
1109,AUDI,A8,MID-SIZE,3,6,AS8,Z,12.6,8,242
1110,AUDI,A8,MID-SIZE,4,8,AS8,Z,12.9,8,246
1111,AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,224
1112,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,12.6,8,242
1113,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,13.2,8.3,258
1114,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,17.8,10.8,344
1115,AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,224
1116,AUDI,Q3,COMPACT,2,4,AS6,Z,12,8.2,237
1117,AUDI,Q3 QUATTRO,COMPACT,2,4,AS6,Z,11.9,8.4,237
1118,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,239
1119,AUDI,Q5,SUV - SMALL,3,6,AS8,Z,13.2,9.2,262
1120,AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,244
1121,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.8,7.9,205
1122,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.2,11,306
1123,AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,290
1124,AUDI,R8,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,327
1125,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,382
1126,AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,347
1127,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.9,12,377
1128,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,327
1129,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,382
1130,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,347
1131,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.9,12,377
1132,AUDI,RS 5,SUBCOMPACT,4.2,8,AM7,Z,14.9,10.1,294
1133,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,AM7,Z,14.8,10.6,297
1134,AUDI,RS 7,MID-SIZE,4,8,AS8,Z,16.6,9.4,313
1135,AUDI,S3,SUBCOMPACT,2,4,AM6,Z,10.1,7.7,207
1136,AUDI,S4,COMPACT,3,6,AM7,Z,13,8.5,253
1137,AUDI,S4,COMPACT,3,6,M6,Z,13.8,9,269
1138,AUDI,S5,SUBCOMPACT,3,6,AM7,Z,13,8.5,253
1139,AUDI,S5,SUBCOMPACT,3,6,M6,Z,13.8,9,269
1140,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,13.3,9.1,262
1141,AUDI,S6,MID-SIZE,4,8,AM7,Z,14,8.7,269
1142,AUDI,S7,MID-SIZE,4,8,AM7,Z,14,8.7,269
1143,AUDI,S8,MID-SIZE,4,8,AS8,Z,14.6,8.8,281
1144,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.1,9.9,281
1145,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,AM6,Z,10.4,7.6,209
1146,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,AM6,Z,10.4,7.7,212
1147,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,AM6,Z,11.7,8.4,235
1148,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,AM6,Z,11.7,8.5,235
1149,BENTLEY,CONTINENTAL GT,COMPACT,4,8,AS8,Z,16.1,9.4,307
1150,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS8,Z,18.9,11.2,354
1151,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,AS8,Z,17.7,10.3,337
1152,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,19.6,11.7,368
1153,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4,8,AS8,Z,17.6,10.1,327
1154,BENTLEY,FLYING SPUR,MID-SIZE,4,8,AS8,Z,17.7,10,334
1155,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,388
1156,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,13.3,419
1157,BMW,228i CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.4,7.1,205
1158,BMW,228i COUPE,SUBCOMPACT,2,4,AS8,Z,10,6.5,193
1159,BMW,228i COUPE,SUBCOMPACT,2,4,M6,Z,10.7,6.9,207
1160,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.6,7.2,209
1161,BMW,228i xDRIVE COUPE,SUBCOMPACT,2,4,AS8,Z,10.3,6.7,200
1162,BMW,320i SEDAN,COMPACT,2,4,AS8,Z,10,6.5,193
1163,BMW,320i SEDAN,COMPACT,2,4,M6,Z,10.7,6.9,207
1164,BMW,320i xDRIVE SEDAN,COMPACT,2,4,AS8,Z,10.3,6.7,200
1165,BMW,328d xDRIVE SEDAN,COMPACT,2,4,AS8,D,7.6,5.5,181
1166,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,D,7.6,5.5,181
1167,BMW,328i SEDAN,COMPACT,2,4,AS8,Z,10,6.5,193
1168,BMW,328i SEDAN,COMPACT,2,4,M6,Z,10.7,6.9,207
1169,BMW,328i xDRIVE SEDAN,COMPACT,2,4,AS8,Z,10.6,7.2,209
1170,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.6,7.2,209
1171,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,Z,10.6,7.2,209
1172,BMW,335i SEDAN,COMPACT,3,6,AS8,Z,11.4,7.4,221
1173,BMW,335i SEDAN,COMPACT,3,6,M6,Z,11.5,7.8,225
1174,BMW,335i xDRIVE SEDAN,COMPACT,3,6,AS8,Z,11.9,7.8,230
1175,BMW,335i xDRIVE SEDAN,COMPACT,3,6,M6,Z,12,8.3,237
1176,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,11.9,7.8,230
1177,BMW,428i CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.4,7.1,205
1178,BMW,428i COUPE,COMPACT,2,4,AS8,Z,10,6.5,193
1179,BMW,428i COUPE,COMPACT,2,4,M6,Z,10.7,6.9,207
1180,BMW,428i GRAN COUPE,COMPACT,2,4,AS8,Z,10.4,7.1,205
1181,BMW,428i GRAN COUPE,COMPACT,2,4,M6,Z,10.9,6.8,207
1182,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,11.2,7.5,221
1183,BMW,428i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.6,7.2,209
1184,BMW,428i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.6,7.2,209
1185,BMW,435i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,7.6,228
1186,BMW,435i COUPE,COMPACT,3,6,AS8,Z,11.4,7.4,221
1187,BMW,435i COUPE,COMPACT,3,6,M6,Z,11.5,7.8,225
1188,BMW,435i GRAN COUPE,COMPACT,3,6,AS8,Z,11.4,7.4,221
1189,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.1,8.1,237
1190,BMW,435i xDRIVE COUPE,COMPACT,3,6,AS8,Z,11.9,7.8,230
1191,BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,12,8.3,237
1192,BMW,435i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.9,7.8,230
1193,BMW,528i SEDAN,MID-SIZE,2,4,AS8,Z,10.4,7.1,205
1194,BMW,528i xDRIVE SEDAN,MID-SIZE,2,4,AS8,Z,10.6,7.2,209
1195,BMW,535d xDRIVE SEDAN,MID-SIZE,3,6,AS8,D,9.2,6.3,213
1196,BMW,535i xDRIVE SEDAN,MID-SIZE,3,6,AS8,Z,12.1,8.1,237
1197,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,12.8,8.9,253
1198,BMW,550i xDRIVE SEDAN,MID-SIZE,4.4,8,AS8,Z,14.4,9.7,283
1199,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,294
1200,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.1,8.1,237
1201,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.1,8.1,237
1202,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,15.2,9.8,294
1203,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.7,283
1204,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,294
1205,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3,6,AS8,D,10.2,7.1,238
1206,BMW,740Li xDRIVE SEDAN,FULL-SIZE,3,6,AS8,Z,12.1,8.1,237
1207,BMW,750i xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,294
1208,BMW,750Li xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,294
1209,BMW,760Li SEDAN,FULL-SIZE,6,12,AS8,Z,18.7,11.6,356
1210,BMW,ACTIVEHYBRID 3,COMPACT,3,6,AS8,Z,9.7,7.5,200
1211,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,AS8,Z,10.6,7.9,216
1212,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,AS8,Z,10.6,7.7,214
1213,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,294
1214,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,294
1215,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,294
1216,BMW,M235i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,8.1,235
1217,BMW,M235i CABRIOLET,SUBCOMPACT,3,6,M6,Z,12.3,9,248
1218,BMW,M235i COUPE,SUBCOMPACT,3,6,AS8,Z,11.8,8.1,235
1219,BMW,M235i COUPE,SUBCOMPACT,3,6,M6,Z,11.9,8.5,239
1220,BMW,M235i xDRIVE COUPE,SUBCOMPACT,3,6,AS8,Z,11.9,7.8,230
1221,BMW,M3 SEDAN,COMPACT,3,6,AM7,Z,14.2,9.6,278
1222,BMW,M3 SEDAN,COMPACT,3,6,M6,Z,13.7,9,267
1223,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,AM7,Z,14.1,9.7,278
1224,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,14.1,9,271
1225,BMW,M4 COUPE,COMPACT,3,6,AM7,Z,14.1,9.7,278
1226,BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.7,9,267
1227,BMW,M5 SEDAN,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,338
1228,BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Z,16.1,10.8,315
1229,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,338
1230,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.8,315
1231,BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,338
1232,BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,315
1233,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,338
1234,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,315
1235,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,10.6,7.2,209
1236,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,AS8,Z,13.2,8.9,258
1237,BMW,X3 xDRIVE28d,SUV - SMALL,2,4,AS8,D,8.6,6.9,213
1238,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.1,8.4,228
1239,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,AS8,Z,12.7,8.8,251
1240,BMW,X4 xDRIVE28i,SUV - SMALL,2,4,AS8,Z,11.7,8.4,235
1241,BMW,X4 xDRIVE35i,SUV - SMALL,3,6,AS8,Z,12.7,8.8,251
1242,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,336
1243,BMW,X5 xDRIVE35d,SUV - STANDARD,3,6,AS8,D,9.9,7.2,235
1244,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,8.9,255
1245,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,317
1246,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,336
1247,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13,8.9,255
1248,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,317
1249,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,AS8,Z,10.7,7.1,209
1250,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.7,6.9,207
1251,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10,278
1252,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M6,Z,12.7,9,253
1253,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10,278
1254,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.2,9.9,283
1255,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,290
1256,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,196
1257,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,212
1258,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.6,262
1259,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.7,12.4,253
1260,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.9,9.1,269
1261,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,18.6,12.6,254
1262,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,189
1263,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.4,7.9,225
1264,BUICK,REGAL,MID-SIZE,2,4,M6,Z,11.6,7.6,225
1265,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.4,8.7,246
1266,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,189
1267,BUICK,VERANO,COMPACT,2,4,AS6,Z,11.4,7.9,225
1268,BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,7.6,225
1269,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,216
1270,CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.1,7.9,223
1271,CADILLAC,ATS,COMPACT,2,4,M6,Z,12.2,7.9,237
1272,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,214
1273,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.4,248
1274,CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.5,8.5,235
1275,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,12.8,8.9,253
1276,CADILLAC,CTS,MID-SIZE,2,4,AS6,Z,11.5,7.9,228
1277,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.8,8.2,246
1278,CADILLAC,CTS AWD,MID-SIZE,2,4,AS6,Z,12.3,8.5,244
1279,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,12.8,8.9,253
1280,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,292
1281,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,322
1282,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,317
1283,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A6,Z,16.8,11.7,334
1284,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,329
1285,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,283
1286,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,294
1287,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,260
1288,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,8.9,267
1289,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.9,290
1290,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.3,8.8,260
1291,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14,8.4,265
1292,CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,15.3,9.8,294
1293,CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15,9.9,292
1294,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.6,7.9,242
1295,CHEVROLET,CAMARO Z/28,COMPACT,6.2,8,M6,Z,18.1,12.3,357
1296,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.9,13,386
1297,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.4,338
1298,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.7,9,216
1299,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.8,242
1300,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.1,248
1301,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,X,13,9.2,260
1302,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.5,260
1303,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.5,9.8,271
1304,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,14.6,8.1,269
1305,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,258
1306,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,329
1307,CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.7,10.6,308
1308,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,179
1309,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9,6.2,179
1310,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.8,202
1311,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.4,6.6,186
1312,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,5.1,192
1313,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9,6.1,177
1314,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,163
1315,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,209
1316,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,X,10.5,7.3,209
1317,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,E,15.6,10.8,214
1318,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,14.2,9.5,278
1319,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,230
1320,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,X,11.5,8.2,230
1321,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,E,16.3,11.6,227
1322,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,290
1323,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21,14.2,414
1324,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22,14.9,432
1325,CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6,8,A6,X,22,14.9,432
1326,CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6,8,A6,E,30.3,20.5,414
1327,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,416
1328,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.2,15.1,437
1329,CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6,8,A6,X,22.2,15.1,437
1330,CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6,8,A6,E,30.6,20.6,418
1331,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.6,7.5,212
1332,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.5,8.2,244
1333,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,17,11.5,232
1334,CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.4,7.9,225
1335,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,184
1336,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,274
1337,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.3,274
1338,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,292
1339,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,13.8,275
1340,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,322
1341,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,288
1342,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,288
1343,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.7,299
1344,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.2,14.3,280
1345,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,327
1346,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9,6.8,184
1347,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,173
1348,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.7,191
